292s:  ts: 1461891795 rate=10881 iops
294s:  ts: 1461891797 rate=13856 iops
296s:  ts: 1461891799 rate=16373 iops
298s:  ts: 1461891801 rate=8308 iops
300s:  ts: 1461891803 rate=8889 iops
302s:  ts: 1461891805 rate=12812 iops
304s:  ts: 1461891807 rate=16249 iops
306s:  ts: 1461891809 rate=10147 iops
308s:  ts: 1461891811 rate=8542 iops
310s:  ts: 1461891813 rate=14493 iops
312s:  ts: 1461891815 rate=15211 iops
314s:  ts: 1461891817 rate=10996 iops
316s:  ts: 1461891819 rate=8385 iops
318s:  ts: 1461891821 rate=11782 iops
320s:  ts: 1461891823 rate=15977 iops
322s:  ts: 1461891825 rate=13259 iops
324s:  ts: 1461891827 rate=6242 iops
326s:  ts: 1461891829 rate=11998 iops
328s:  ts: 1461891831 rate=15976 iops
330s:  ts: 1461891833 rate=15848 iops
332s:  ts: 1461891835 rate=8915 iops
334s:  ts: 1461891837 rate=8875 iops
336s:  ts: 1461891839 rate=14007 iops
338s:  ts: 1461891841 rate=16480 iops
340s:  ts: 1461891843 rate=14767 iops
342s:  ts: 1461891845 rate=5461 iops
344s:  ts: 1461891847 rate=11225 iops
346s:  ts: 1461891849 rate=14229 iops
348s:  ts: 1461891851 rate=15346 iops
350s:  ts: 1461891853 rate=8444 iops
352s:  ts: 1461891855 rate=7689 iops
354s:  ts: 1461891857 rate=14545 iops
356s:  ts: 1461891859 rate=15018 iops
358s:  ts: 1461891861 rate=10706 iops
360s:  ts: 1461891863 rate=7600 iops
362s:  ts: 1461891865 rate=10306 iops
364s:  ts: 1461891867 rate=15945 iops
366s:  ts: 1461891869 rate=13858 iops
368s:  ts: 1461891871 rate=6110 iops
370s:  ts: 1461891873 rate=11159 iops
372s:  ts: 1461891875 rate=15054 iops
374s:  ts: 1461891877 rate=15769 iops
376s:  ts: 1461891879 rate=9710 iops
378s:  ts: 1461891881 rate=8541 iops
380s:  ts: 1461891883 rate=12156 iops
382s:  ts: 1461891885 rate=15587 iops
384s:  ts: 1461891887 rate=15601 iops
386s:  ts: 1461891889 rate=9126 iops
388s:  ts: 1461891891 rate=8168 iops
390s:  ts: 1461891893 rate=13201 iops
392s:  ts: 1461891895 rate=14514 iops
394s:  ts: 1461891897 rate=16350 iops
396s:  ts: 1461891899 rate=9278 iops
398s:  ts: 1461891901 rate=8643 iops
400s:  ts: 1461891903 rate=12500 iops
402s:  ts: 1461891905 rate=15267 iops
404s:  ts: 1461891907 rate=15567 iops
406s:  ts: 1461891909 rate=6347 iops
408s:  ts: 1461891911 rate=9155 iops
410s:  ts: 1461891913 rate=11993 iops
412s:  ts: 1461891915 rate=15194 iops
414s:  ts: 1461891917 rate=12921 iops
