292s:  ts: 1461903325 rate=4333 iops
294s:  ts: 1461903327 rate=3955 iops
296s:  ts: 1461903329 rate=4067 iops
298s:  ts: 1461903331 rate=4139 iops
300s:  ts: 1461903333 rate=3892 iops
302s:  ts: 1461903335 rate=4105 iops
304s:  ts: 1461903337 rate=4059 iops
306s:  ts: 1461903339 rate=3869 iops
308s:  ts: 1461903341 rate=4029 iops
310s:  ts: 1461903343 rate=3846 iops
312s:  ts: 1461903345 rate=4114 iops
314s:  ts: 1461903347 rate=3834 iops
316s:  ts: 1461903349 rate=3334 iops
318s:  ts: 1461903351 rate=3612 iops
320s:  ts: 1461903353 rate=2825 iops
322s:  ts: 1461903355 rate=3339 iops
324s:  ts: 1461903357 rate=2338 iops
326s:  ts: 1461903359 rate=1525 iops
328s:  ts: 1461903361 rate=1435 iops
330s:  ts: 1461903363 rate=1382 iops
332s:  ts: 1461903365 rate=1148 iops
334s:  ts: 1461903367 rate=1478 iops
336s:  ts: 1461903369 rate=886 iops
338s:  ts: 1461903371 rate=1299 iops
340s:  ts: 1461903373 rate=887 iops
342s:  ts: 1461903375 rate=528 iops
344s:  ts: 1461903377 rate=535 iops
346s:  ts: 1461903379 rate=774 iops
348s:  ts: 1461903381 rate=2176 iops
350s:  ts: 1461903383 rate=1234 iops
352s:  ts: 1461903385 rate=1889 iops
354s:  ts: 1461903387 rate=517 iops
356s:  ts: 1461903389 rate=1035 iops
358s:  ts: 1461903391 rate=2172 iops
360s:  ts: 1461903393 rate=1441 iops
362s:  ts: 1461903395 rate=1172 iops
364s:  ts: 1461903397 rate=2137 iops
366s:  ts: 1461903399 rate=2205 iops
368s:  ts: 1461903401 rate=1672 iops
370s:  ts: 1461903403 rate=3079 iops
372s:  ts: 1461903405 rate=2322 iops
374s:  ts: 1461903407 rate=1912 iops
376s:  ts: 1461903409 rate=3325 iops
378s:  ts: 1461903411 rate=4091 iops
380s:  ts: 1461903413 rate=4119 iops
382s:  ts: 1461903415 rate=3765 iops
384s:  ts: 1461903417 rate=4266 iops
386s:  ts: 1461903419 rate=3929 iops
388s:  ts: 1461903421 rate=3989 iops
390s:  ts: 1461903423 rate=4065 iops
392s:  ts: 1461903425 rate=3746 iops
394s:  ts: 1461903427 rate=4147 iops
396s:  ts: 1461903429 rate=4247 iops
398s:  ts: 1461903431 rate=3760 iops
400s:  ts: 1461903433 rate=4026 iops
402s:  ts: 1461903435 rate=3694 iops
404s:  ts: 1461903437 rate=3552 iops
406s:  ts: 1461903439 rate=4046 iops
408s:  ts: 1461903441 rate=3853 iops
410s:  ts: 1461903443 rate=3942 iops
412s:  ts: 1461903445 rate=4156 iops
414s:  ts: 1461903447 rate=3693 iops
416s:  ts: 1461903449 rate=4073 iops
418s:  ts: 1461903451 rate=3597 iops
420s:  ts: 1461903453 rate=4017 iops
422s:  ts: 1461903455 rate=4008 iops
424s:  ts: 1461903457 rate=3692 iops
426s:  ts: 1461903459 rate=4122 iops
428s:  ts: 1461903461 rate=3920 iops
430s:  ts: 1461903463 rate=3993 iops
432s:  ts: 1461903465 rate=4188 iops
434s:  ts: 1461903467 rate=3400 iops
436s:  ts: 1461903469 rate=4252 iops
438s:  ts: 1461903471 rate=4046 iops
440s:  ts: 1461903473 rate=3984 iops
442s:  ts: 1461903475 rate=3957 iops
444s:  ts: 1461903477 rate=3821 iops
446s:  ts: 1461903479 rate=3909 iops
448s:  ts: 1461903481 rate=4449 iops
450s:  ts: 1461903483 rate=3604 iops
452s:  ts: 1461903485 rate=4162 iops
454s:  ts: 1461903487 rate=4114 iops
456s:  ts: 1461903489 rate=3671 iops
458s:  ts: 1461903491 rate=4032 iops
460s:  ts: 1461903493 rate=3864 iops
462s:  ts: 1461903495 rate=3851 iops
464s:  ts: 1461903497 rate=3604 iops
466s:  ts: 1461903499 rate=3653 iops
468s:  ts: 1461903501 rate=4093 iops
470s:  ts: 1461903503 rate=4050 iops
472s:  ts: 1461903505 rate=3651 iops
474s:  ts: 1461903507 rate=3862 iops
476s:  ts: 1461903509 rate=4029 iops
478s:  ts: 1461903511 rate=3750 iops
480s:  ts: 1461903513 rate=4128 iops
482s:  ts: 1461903515 rate=3862 iops
484s:  ts: 1461903517 rate=3988 iops
486s:  ts: 1461903519 rate=4151 iops
488s:  ts: 1461903521 rate=3842 iops
490s:  ts: 1461903523 rate=4048 iops
492s:  ts: 1461903525 rate=4088 iops
494s:  ts: 1461903527 rate=3673 iops
496s:  ts: 1461903529 rate=4179 iops
498s:  ts: 1461903531 rate=3707 iops
500s:  ts: 1461903533 rate=4145 iops
502s:  ts: 1461903535 rate=3983 iops
504s:  ts: 1461903537 rate=3736 iops
506s:  ts: 1461903539 rate=4063 iops
508s:  ts: 1461903541 rate=4016 iops
510s:  ts: 1461903543 rate=3728 iops
512s:  ts: 1461903545 rate=4129 iops
514s:  ts: 1461903547 rate=3666 iops
516s:  ts: 1461903549 rate=4077 iops
518s:  ts: 1461903551 rate=4052 iops
520s:  ts: 1461903553 rate=3636 iops
522s:  ts: 1461903555 rate=4053 iops
524s:  ts: 1461903557 rate=3643 iops
526s:  ts: 1461903559 rate=3731 iops
528s:  ts: 1461903561 rate=4162 iops
530s:  ts: 1461903563 rate=3637 iops
532s:  ts: 1461903565 rate=4138 iops
534s:  ts: 1461903567 rate=3934 iops
536s:  ts: 1461903569 rate=3718 iops
538s:  ts: 1461903571 rate=4111 iops
540s:  ts: 1461903573 rate=4061 iops
542s:  ts: 1461903575 rate=3745 iops
544s:  ts: 1461903577 rate=4379 iops
546s:  ts: 1461903579 rate=3741 iops
548s:  ts: 1461903581 rate=4301 iops
550s:  ts: 1461903583 rate=4059 iops
552s:  ts: 1461903585 rate=3563 iops
554s:  ts: 1461903587 rate=3636 iops
556s:  ts: 1461903589 rate=4098 iops
558s:  ts: 1461903591 rate=3531 iops
560s:  ts: 1461903593 rate=4168 iops
562s:  ts: 1461903595 rate=3718 iops
564s:  ts: 1461903597 rate=3914 iops
566s:  ts: 1461903599 rate=4001 iops
568s:  ts: 1461903601 rate=3665 iops
570s:  ts: 1461903603 rate=3921 iops
572s:  ts: 1461903605 rate=4057 iops
574s:  ts: 1461903607 rate=3633 iops
576s:  ts: 1461903609 rate=4142 iops
578s:  ts: 1461903611 rate=2790 iops
580s:  ts: 1461903613 rate=3820 iops
582s:  ts: 1461903615 rate=4269 iops
584s:  ts: 1461903617 rate=3253 iops
586s:  ts: 1461903619 rate=4242 iops
588s:  ts: 1461903621 rate=4504 iops
590s:  ts: 1461903623 rate=3707 iops
592s:  ts: 1461903625 rate=4308 iops
594s:  ts: 1461903627 rate=4438 iops
596s:  ts: 1461903629 rate=3794 iops
598s:  ts: 1461903631 rate=4054 iops
600s:  ts: 1461903633 rate=3898 iops
602s:  ts: 1461903635 rate=4304 iops
604s:  ts: 1461903637 rate=4152 iops
606s:  ts: 1461903639 rate=3870 iops
608s:  ts: 1461903641 rate=4177 iops
610s:  ts: 1461903643 rate=4153 iops
612s:  ts: 1461903645 rate=3791 iops
614s:  ts: 1461903647 rate=3497 iops
616s:  ts: 1461903649 rate=4282 iops
618s:  ts: 1461903651 rate=3919 iops
620s:  ts: 1461903653 rate=4253 iops
622s:  ts: 1461903655 rate=3883 iops
624s:  ts: 1461903657 rate=4300 iops
626s:  ts: 1461903659 rate=4081 iops
628s:  ts: 1461903661 rate=3736 iops
630s:  ts: 1461903663 rate=4302 iops
632s:  ts: 1461903665 rate=4224 iops
634s:  ts: 1461903667 rate=3646 iops
636s:  ts: 1461903669 rate=4381 iops
638s:  ts: 1461903671 rate=3918 iops
640s:  ts: 1461903673 rate=4083 iops
642s:  ts: 1461903675 rate=4328 iops
644s:  ts: 1461903677 rate=3441 iops
646s:  ts: 1461903679 rate=4316 iops
648s:  ts: 1461903681 rate=4423 iops
650s:  ts: 1461903683 rate=3746 iops
652s:  ts: 1461903685 rate=4236 iops
654s:  ts: 1461903687 rate=4230 iops
656s:  ts: 1461903689 rate=3797 iops
658s:  ts: 1461903691 rate=4179 iops
660s:  ts: 1461903693 rate=3795 iops
662s:  ts: 1461903695 rate=4190 iops
664s:  ts: 1461903697 rate=4287 iops
666s:  ts: 1461903699 rate=3935 iops
668s:  ts: 1461903701 rate=4356 iops
670s:  ts: 1461903703 rate=4106 iops
672s:  ts: 1461903705 rate=3772 iops
674s:  ts: 1461903707 rate=3377 iops
676s:  ts: 1461903709 rate=4250 iops
678s:  ts: 1461903711 rate=3824 iops
680s:  ts: 1461903713 rate=4283 iops
682s:  ts: 1461903715 rate=3664 iops
684s:  ts: 1461903717 rate=4327 iops
686s:  ts: 1461903719 rate=4214 iops
688s:  ts: 1461903721 rate=3541 iops
690s:  ts: 1461903723 rate=4506 iops
692s:  ts: 1461903725 rate=4323 iops
694s:  ts: 1461903727 rate=3593 iops
696s:  ts: 1461903729 rate=4415 iops
698s:  ts: 1461903731 rate=4218 iops
700s:  ts: 1461903733 rate=3920 iops
702s:  ts: 1461903735 rate=4496 iops
704s:  ts: 1461903737 rate=3383 iops
706s:  ts: 1461903739 rate=4348 iops
708s:  ts: 1461903741 rate=4399 iops
710s:  ts: 1461903743 rate=3849 iops
712s:  ts: 1461903745 rate=4295 iops
714s:  ts: 1461903747 rate=4399 iops
716s:  ts: 1461903749 rate=3911 iops
718s:  ts: 1461903751 rate=4161 iops
720s:  ts: 1461903753 rate=4009 iops
722s:  ts: 1461903755 rate=3916 iops
724s:  ts: 1461903757 rate=4209 iops
726s:  ts: 1461903759 rate=3672 iops
728s:  ts: 1461903761 rate=4313 iops
730s:  ts: 1461903763 rate=4177 iops
732s:  ts: 1461903765 rate=3658 iops
734s:  ts: 1461903767 rate=3707 iops
736s:  ts: 1461903769 rate=4450 iops
738s:  ts: 1461903771 rate=3799 iops
740s:  ts: 1461903773 rate=4336 iops
742s:  ts: 1461903775 rate=3952 iops
744s:  ts: 1461903777 rate=3974 iops
746s:  ts: 1461903779 rate=4278 iops
748s:  ts: 1461903781 rate=3687 iops
750s:  ts: 1461903783 rate=4125 iops
752s:  ts: 1461903785 rate=4287 iops
754s:  ts: 1461903787 rate=3470 iops
756s:  ts: 1461903789 rate=4274 iops
758s:  ts: 1461903791 rate=4193 iops
760s:  ts: 1461903793 rate=3582 iops
762s:  ts: 1461903795 rate=4277 iops
764s:  ts: 1461903797 rate=3625 iops
766s:  ts: 1461903799 rate=3807 iops
768s:  ts: 1461903801 rate=4373 iops
770s:  ts: 1461903803 rate=3691 iops
772s:  ts: 1461903805 rate=4286 iops
774s:  ts: 1461903807 rate=4210 iops
776s:  ts: 1461903809 rate=3639 iops
778s:  ts: 1461903811 rate=4163 iops
780s:  ts: 1461903813 rate=4309 iops
782s:  ts: 1461903815 rate=3671 iops
784s:  ts: 1461903817 rate=4215 iops
786s:  ts: 1461903819 rate=4178 iops
788s:  ts: 1461903821 rate=3756 iops
790s:  ts: 1461903823 rate=4332 iops
792s:  ts: 1461903825 rate=3682 iops
794s:  ts: 1461903827 rate=3414 iops
796s:  ts: 1461903829 rate=4291 iops
798s:  ts: 1461903831 rate=3898 iops
800s:  ts: 1461903833 rate=4479 iops
802s:  ts: 1461903835 rate=4232 iops
804s:  ts: 1461903837 rate=3588 iops
806s:  ts: 1461903839 rate=4224 iops
808s:  ts: 1461903841 rate=4187 iops
810s:  ts: 1461903843 rate=3527 iops
812s:  ts: 1461903845 rate=4260 iops
814s:  ts: 1461903847 rate=3532 iops
816s:  ts: 1461903849 rate=4273 iops
818s:  ts: 1461903851 rate=4222 iops
820s:  ts: 1461903853 rate=3729 iops
822s:  ts: 1461903855 rate=4224 iops
824s:  ts: 1461903857 rate=3957 iops
826s:  ts: 1461903859 rate=3313 iops
828s:  ts: 1461903861 rate=4360 iops
830s:  ts: 1461903863 rate=4367 iops
832s:  ts: 1461903865 rate=3579 iops
834s:  ts: 1461903867 rate=4200 iops
836s:  ts: 1461903869 rate=4059 iops
838s:  ts: 1461903871 rate=3675 iops
840s:  ts: 1461903873 rate=4545 iops
842s:  ts: 1461903875 rate=3555 iops
844s:  ts: 1461903877 rate=4247 iops
846s:  ts: 1461903879 rate=4268 iops
848s:  ts: 1461903881 rate=3429 iops
850s:  ts: 1461903883 rate=4272 iops
852s:  ts: 1461903885 rate=4314 iops
854s:  ts: 1461903887 rate=2975 iops
856s:  ts: 1461903889 rate=3852 iops
858s:  ts: 1461903891 rate=4294 iops
860s:  ts: 1461903893 rate=3420 iops
862s:  ts: 1461903895 rate=4389 iops
864s:  ts: 1461903897 rate=4010 iops
866s:  ts: 1461903899 rate=3551 iops
868s:  ts: 1461903901 rate=4260 iops
870s:  ts: 1461903903 rate=3465 iops
872s:  ts: 1461903905 rate=4040 iops
874s:  ts: 1461903907 rate=4246 iops
876s:  ts: 1461903909 rate=3502 iops
878s:  ts: 1461903911 rate=4238 iops
880s:  ts: 1461903913 rate=4432 iops
882s:  ts: 1461903915 rate=3521 iops
884s:  ts: 1461903917 rate=4028 iops
886s:  ts: 1461903919 rate=4213 iops
888s:  ts: 1461903921 rate=3409 iops
890s:  ts: 1461903923 rate=4302 iops
892s:  ts: 1461903925 rate=4513 iops
894s:  ts: 1461903927 rate=3407 iops
896s:  ts: 1461903929 rate=4291 iops
898s:  ts: 1461903931 rate=3844 iops
900s:  ts: 1461903933 rate=3959 iops
902s:  ts: 1461903935 rate=4164 iops
904s:  ts: 1461903937 rate=3604 iops
906s:  ts: 1461903939 rate=4373 iops
908s:  ts: 1461903941 rate=4260 iops
910s:  ts: 1461903943 rate=3294 iops
912s:  ts: 1461903945 rate=4274 iops
914s:  ts: 1461903947 rate=3985 iops
916s:  ts: 1461903949 rate=2982 iops
918s:  ts: 1461903951 rate=4315 iops
920s:  ts: 1461903953 rate=4567 iops
922s:  ts: 1461903955 rate=3422 iops
924s:  ts: 1461903957 rate=4187 iops
926s:  ts: 1461903959 rate=4479 iops
928s:  ts: 1461903961 rate=3607 iops
930s:  ts: 1461903963 rate=4195 iops
932s:  ts: 1461903965 rate=4042 iops
934s:  ts: 1461903967 rate=3712 iops
936s:  ts: 1461903969 rate=4410 iops
938s:  ts: 1461903971 rate=3816 iops
940s:  ts: 1461903973 rate=4294 iops
942s:  ts: 1461903975 rate=4334 iops
944s:  ts: 1461903977 rate=3352 iops
946s:  ts: 1461903979 rate=3816 iops
948s:  ts: 1461903981 rate=4276 iops
950s:  ts: 1461903983 rate=3609 iops
952s:  ts: 1461903985 rate=4358 iops
954s:  ts: 1461903987 rate=4170 iops
956s:  ts: 1461903989 rate=3457 iops
958s:  ts: 1461903991 rate=4174 iops
960s:  ts: 1461903993 rate=4289 iops
962s:  ts: 1461903995 rate=3237 iops
964s:  ts: 1461903997 rate=4353 iops
966s:  ts: 1461903999 rate=3819 iops
968s:  ts: 1461904001 rate=3625 iops
970s:  ts: 1461904003 rate=4167 iops
972s:  ts: 1461904005 rate=3669 iops
974s:  ts: 1461904007 rate=4102 iops
976s:  ts: 1461904009 rate=3809 iops
978s:  ts: 1461904011 rate=3325 iops
980s:  ts: 1461904013 rate=4423 iops
982s:  ts: 1461904015 rate=4233 iops
984s:  ts: 1461904017 rate=3365 iops
986s:  ts: 1461904019 rate=4168 iops
988s:  ts: 1461904021 rate=4307 iops
990s:  ts: 1461904023 rate=3313 iops
992s:  ts: 1461904025 rate=4303 iops
994s:  ts: 1461904027 rate=4238 iops
996s:  ts: 1461904029 rate=3573 iops
998s:  ts: 1461904031 rate=4165 iops
1000s:  ts: 1461904033 rate=4065 iops
1002s:  ts: 1461904035 rate=3590 iops
1004s:  ts: 1461904037 rate=4185 iops
1006s:  ts: 1461904039 rate=3126 iops
1008s:  ts: 1461904041 rate=3803 iops
1010s:  ts: 1461904043 rate=4172 iops
1012s:  ts: 1461904045 rate=3506 iops
1014s:  ts: 1461904047 rate=4141 iops
1016s:  ts: 1461904049 rate=4255 iops
1018s:  ts: 1461904051 rate=3338 iops
1020s:  ts: 1461904053 rate=4305 iops
1022s:  ts: 1461904055 rate=4098 iops
1024s:  ts: 1461904057 rate=3614 iops
1026s:  ts: 1461904059 rate=4178 iops
1028s:  ts: 1461904061 rate=4247 iops
1030s:  ts: 1461904063 rate=3518 iops
1032s:  ts: 1461904065 rate=4315 iops
1034s:  ts: 1461904067 rate=4261 iops
